#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#  BOSS = BOSS Fiber (no APOGEE fiber)
#  Fiducial = Fixed Illuminated Fiducial
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# Row   Pos     X (mm)  Y (mm)          Assignment
-11     15      145.6   -213.3887       BA
-11     16      168     -213.3887       BOSS
-11     17      190.4   -213.3887       BA
#
-10     0       -201.6  -193.9897       Fiducial
-10     1       -179.2  -193.9897       BOSS
-10     2       -156.8  -193.9897       BA
-10     3       -134.4  -193.9897       BOSS
-10     4       -112    -193.9897       BA
-10     5       -89.6   -193.9897       BA
-10     6       -67.2   -193.9897       BA
-10     7       -44.8   -193.9897       BA
-10     8       -22.4   -193.9897       BA
-10     9       0       -193.9897       BA
-10     10      22.4    -193.9897       BA
-10     11      44.8    -193.9897       BA
-10     12      67.2    -193.9897       BA
-10     13      89.6    -193.9897       BA
-10     14      112     -193.9897       BA
-10     15      134.4   -193.9897       BOSS
-10     16      156.8   -193.9897       BA
-10     17      179.2   -193.9897       BOSS
-10     18      201.6   -193.9897       Fiducial
#
-9      0       -212.8  -174.5907       BA
-9      1       -190.4  -174.5907       BOSS
-9      2       -168    -174.5907       BA
-9      3       -145.6  -174.5907       BOSS
-9      4       -123.2  -174.5907       BA
-9      5       -100.8  -174.5907       BA
-9      6       -78.4   -174.5907       BOSS
-9      7       -56     -174.5907       BOSS
-9      8       -33.6   -174.5907       BOSS
-9      9       -11.2   -174.5907       BOSS
-9      10      11.2    -174.5907       BOSS
-9      11      33.6    -174.5907       BOSS
-9      12      56      -174.5907       BOSS
-9      13      78.4    -174.5907       BOSS
-9      14      100.8   -174.5907       BA
-9      15      123.2   -174.5907       BA
-9      16      145.6   -174.5907       BOSS
-9      17      168     -174.5907       BA
-9      18      190.4   -174.5907       BOSS
-9      19      212.8   -174.5907       BA
#
-8      0       -224    -155.1918       BA
-8      1       -201.6  -155.1918       BA
-8      2       -179.2  -155.1918       BA
-8      3       -156.8  -155.1918       Fiducial
-8      4       -134.4  -155.1918       BA
-8      5       -112    -155.1918       BOSS
-8      6       -89.6   -155.1918       Fiducial
-8      7       -67.2   -155.1918       BA
-8      8       -44.8   -155.1918       BA
-8      9       -22.4   -155.1918       BA
-8      10      0       -155.1918       Fiducial
-8      11      22.4    -155.1918       BA
-8      12      44.8    -155.1918       BA
-8      13      67.2    -155.1918       BA
-8      14      89.6    -155.1918       Fiducial
-8      15      112     -155.1918       BOSS
-8      16      134.4   -155.1918       BA
-8      17      156.8   -155.1918       Fiducial
-8      18      179.2   -155.1918       BA
-8      19      201.6   -155.1918       BA
-8      20      224     -155.1918       BA
#
-7      0       -235.2  -135.7928       Fiducial
-7      1       -212.8  -135.7928       BOSS
-7      2       -190.4  -135.7928       BA
-7      3       -168    -135.7928       BOSS
-7      4       -145.6  -135.7928       BA
-7      5       -123.2  -135.7928       BOSS
-7      6       -100.8  -135.7928       BA
-7      7       -78.4   -135.7928       BA
-7      8       -56     -135.7928       BOSS
-7      9       -33.6   -135.7928       BOSS
-7      10      -11.2   -135.7928       BOSS
-7      11      11.2    -135.7928       BOSS
-7      12      33.6    -135.7928       BOSS
-7      13      56      -135.7928       BOSS
-7      14      78.4    -135.7928       BA
-7      15      100.8   -135.7928       BA
-7      16      123.2   -135.7928       BOSS
-7      17      145.6   -135.7928       BA
-7      18      168     -135.7928       BOSS
-7      19      190.4   -135.7928       BA
-7      20      212.8   -135.7928       BOSS
-7      21      235.2   -135.7928       Fiducial
#
-6      0       -246.4  -116.3938       BA
-6      1       -224    -116.3938       BOSS
-6      2       -201.6  -116.3938       BA
-6      3       -179.2  -116.3938       BOSS
-6      4       -156.8  -116.3938       BA
-6      5       -134.4  -116.3938       BOSS
-6      6       -112    -116.3938       BA
-6      7       -89.6   -116.3938       BOSS
-6      8       -67.2   -116.3938       BA
-6      9       -44.8   -116.3938       Fiducial
-6      10      -22.4   -116.3938       BA
-6      11      0       -116.3938       BA
-6      12      22.4    -116.3938       BA
-6      13      44.8    -116.3938       Fiducial
-6      14      67.2    -116.3938       BA
-6      15      89.6    -116.3938       BOSS
-6      16      112     -116.3938       BA
-6      17      134.4   -116.3938       BOSS
-6      18      156.8   -116.3938       BA
-6      19      179.2   -116.3938       BOSS
-6      20      201.6   -116.3938       BA
-6      21      224     -116.3938       BOSS
-6      22      246.4   -116.3938       BA
#
-5      0       -257.6  -96.9948        BA
-5      1       -235.2  -96.9948        BA
-5      2       -212.8  -96.9948        BA
-5      3       -190.4  -96.9948        BOSS
-5      4       -168    -96.9948        Fiducial
-5      5       -145.6  -96.9948        BOSS
-5      6       -123.2  -96.9948        BA
-5      7       -100.8  -96.9948        BOSS
-5      8       -78.4   -96.9948        BA
-5      9       -56     -96.9948        BOSS
-5      10      -33.6   -96.9948        BA
-5      11      -11.2   -96.9948        BOSS
-5      12      11.2    -96.9948        BOSS
-5      13      33.6    -96.9948        BA
-5      14      56      -96.9948        BOSS
-5      15      78.4    -96.9948        BA
-5      16      100.8   -96.9948        BOSS
-5      17      123.2   -96.9948        BA
-5      18      145.6   -96.9948        BOSS
-5      19      168     -96.9948        Fiducial
-5      20      190.4   -96.9948        BOSS
-5      21      212.8   -96.9948        BA
-5      22      235.2   -96.9948        BA
-5      23      257.6   -96.9948        BA
#
-4      0       -268.8  -77.5959        Fiducial
-4      1       -246.4  -77.5959        BOSS
-4      2       -224    -77.5959        BA
-4      3       -201.6  -77.5959        BOSS
-4      4       -179.2  -77.5959        BA
-4      5       -156.8  -77.5959        BOSS
-4      6       -134.4  -77.5959        BA
-4      7       -112    -77.5959        BOSS
-4      8       -89.6   -77.5959        BA
-4      9       -67.2   -77.5959        Fiducial
-4      10      -44.8   -77.5959        BA
-4      11      -22.4   -77.5959        BA
-4      12      0       -77.5959        Fiducial
-4      13      22.4    -77.5959        BA
-4      14      44.8    -77.5959        BA
-4      15      67.2    -77.5959        Fiducial
-4      16      89.6    -77.5959        BA
-4      17      112     -77.5959        BOSS
-4      18      134.4   -77.5959        BA
-4      19      156.8   -77.5959        BOSS
-4      20      179.2   -77.5959        BA
-4      21      201.6   -77.5959        BOSS
-4      22      224     -77.5959        BA
-4      23      246.4   -77.5959        BOSS
-4      24      268.8   -77.5959        Fiducial
#
-3      0       -280    -58.1969        BA
-3      1       -257.6  -58.1969        BOSS
-3      2       -235.2  -58.1969        BA
-3      3       -212.8  -58.1969        Fiducial
-3      4       -190.4  -58.1969        BA
-3      5       -168    -58.1969        BOSS
-3      6       -145.6  -58.1969        BA  
-3      7       -123.2  -58.1969        Fiducial
-3      8       -100.8  -58.1969        BA
-3      17      100.8   -58.1969        BA
-3      18      123.2   -58.1969        Fiducial
-3      19      145.6   -58.1969        BA  
-3      20      168     -58.1969        BOSS
-3      21      190.4   -58.1969        BA
-3      22      212.8   -58.1969        Fiducial
-3      23      235.2   -58.1969        BA
-3      24      257.6   -58.1969        BOSS
-3      25      280     -58.1969        BA
#
-2      0       -291.2  -38.7979        BA
-2      1       -268.8  -38.7979        BOSS
-2      2       -246.4  -38.7979        BA
-2      3       -224    -38.7979        BOSS
-2      4       -201.6  -38.7979        BA
-2      5       -179.2  -38.7979        BOSS
-2      6       -156.8  -38.7979        BA
-2      7       -134.4  -38.7979        BOSS
-2      8       -112    -38.7979        BA
#-2      9       -89.6   -38.7979        Fiducial
#-2      10      -67.20  -38.7979        Fiducial
#-2      16      67.20   -38.7979        Fiducial
#-2      17      89.6    -38.7979        Fiducial
-2      18      112     -38.7979        BA
-2      19      134.4   -38.7979        BOSS
-2      20      156.8   -38.7979        BA
-2      21      179.2   -38.7979        BOSS
-2      22      201.6   -38.7979        BA
-2      23      224     -38.7979        BOSS
-2      24      246.4   -38.7979        BA
-2      25      268.8   -38.7979        BOSS
-2      26      291.2   -38.7979        BA
#
-1      0       -302.4  -19.399         BA
-1      1       -280    -19.399         BOSS
-1      2       -257.6  -19.399         BA
-1      3       -235.2  -19.399         BOSS
-1      4       -212.8  -19.399         BA
-1      5       -190.4  -19.399         BOSS
-1      6       -168    -19.399         BA
-1      7       -145.6  -19.399         BOSS
-1      8       -123.2  -19.399         BA
-1      9       -100.8  -19.399         BOSS
-1      18      100.8   -19.399         BOSS
-1      19      123.2   -19.399         BA
-1      20      145.6   -19.399         BOSS
-1      21      168     -19.399         BA
-1      22      190.4   -19.399         BOSS
-1      23      212.8   -19.399         BA
-1      24      235.2   -19.399         BOSS
-1      25      257.6   -19.399         BA
-1      26      280     -19.399         BOSS
-1      27      302.4   -19.399         BA
#
0       0       -313.6  0               Fiducial
0       1       -291.2  0               BA
0       2       -268.8  0               BA
0       3       -246.4  0               Fiducial
0       4       -224    0               BA
0       5       -201.6  0               BA
0       6       -179.2  0               Fiducial
0       7       -156.8  0               BA
0       8       -134.4  0               BA
0       9       -112    0               Fiducial
0       19      112     0               Fiducial
0       20      134.4   0               BA
0       21      156.8   0               BA
0       22      179.2   0               Fiducial
0       23      201.6   0               BA
0       24      224     0               BA
0       25      246.4   0               Fiducial
0       26      268.8   0               BA
0       27      291.2   0               BA
0       28      313.6   0               Fiducial
#
14     0       -156.8  271.5856       Fiducial
14     1       -134.4  271.5856       BA
14     2       -112    271.5856       BA
14     3       -89.6   271.5856       BA
14     4       -67.2   271.5856       Fiducial
14     5       -44.8   271.5856       BA
14     6       -22.4   271.5856       BA
14     7       0       271.5856       Fiducial
14     8       22.4    271.5856       BA
14     9       44.8    271.5856       BA
14     10      67.2    271.5856       Fiducial
14     11      89.6    271.5856       BA
14     12      112     271.5856       BA
14     13      134.4   271.5856       BA
14     14      156.8   271.5856       Fiducial
#
13     0       -168    252.1866       BA
13     1       -145.6  252.1866       BA
13     2       -123.2  252.1866       BOSS
13     3       -100.8  252.1866       BOSS
13     4       -78.4   252.1866       BOSS
13     5       -56     252.1866       BOSS
13     6       -33.6   252.1866       BA
13     7       -11.2   252.1866       BOSS
13     8       11.2    252.1866       BOSS
13     9       33.6    252.1866       BA
13     10      56      252.1866       BOSS
13     11      78.4    252.1866       BOSS
13     12      100.8   252.1866       BOSS
13     13      123.2   252.1866       BOSS
13     14      145.6   252.1866       BA
13     15      168     252.1866       BA
#
12     0       -179.2  232.7876       BA
12     1       -156.8  232.7876       BOSS
12     2       -134.4  232.7876       BA
12     3       -112    232.7876       BA
12     4       -89.6   232.7876       BA
12     5       -67.2   232.7876       BA
12     6       -44.8   232.7876       BA
12     7       -22.4   232.7876       BA
12     8       0       232.7876       Fiducial
12     9       22.4    232.7876       BA
12     10      44.8    232.7876       BA
12     11      67.2    232.7876       BA
12     12      89.6    232.7876       BA
12     13      112     232.7876       BA
12     14      134.4   232.7876       BA
12     15      156.8   232.7876       BOSS
12     16      179.2   232.7876       BA
#
11     0       -190.4  213.3887       BA
11     1       -168    213.3887       BOSS
11     2       -145.6  213.3887       BA
11     3       -123.2  213.3887       Fiducial
11     4       -100.8  213.3887       BOSS
11     5       -78.4   213.3887       BOSS
11     6       -56     213.3887       Fiducial
11     7       -33.6   213.3887       BOSS
11     8       -11.2   213.3887       BOSS
11     9       11.2    213.3887       BOSS
11     10      33.6    213.3887       BOSS
11     11      56      213.3887       Fiducial
11     12      78.4    213.3887       BOSS
11     13      100.8   213.3887       BOSS
11     14      123.2   213.3887       Fiducial
11     15      145.6   213.3887       BA
11     16      168     213.3887       BOSS
11     17      190.4   213.3887       BA
#
10     0       -201.6  193.9897       Fiducial
10     1       -179.2  193.9897       BOSS
10     2       -156.8  193.9897       BA
10     3       -134.4  193.9897       BOSS
10     4       -112    193.9897       BA
10     5       -89.6   193.9897       BA
10     6       -67.2   193.9897       BA
10     7       -44.8   193.9897       BA
10     8       -22.4   193.9897       BA
10     9       0       193.9897       BA
10     10      22.4    193.9897       BA
10     11      44.8    193.9897       BA
10     12      67.2    193.9897       BA
10     13      89.6    193.9897       BA
10     14      112     193.9897       BA
10     15      134.4   193.9897       BOSS
10     16      156.8   193.9897       BA
10     17      179.2   193.9897       BOSS
10     18      201.6   193.9897       Fiducial
#
9      0       -212.8  174.5907       BA
9      1       -190.4  174.5907       BOSS
9      2       -168    174.5907       BA
9      3       -145.6  174.5907       BOSS
9      4       -123.2  174.5907       BA
9      5       -100.8  174.5907       BA
9      6       -78.4   174.5907       BOSS
9      7       -56     174.5907       BOSS
9      8       -33.6   174.5907       BOSS
9      9       -11.2   174.5907       BOSS
9      10      11.2    174.5907       BOSS
9      11      33.6    174.5907       BOSS
9      12      56      174.5907       BOSS
9      13      78.4    174.5907       BOSS
9      14      100.8   174.5907       BA
9      15      123.2   174.5907       BA
9      16      145.6   174.5907       BOSS
9      17      168     174.5907       BA
9      18      190.4   174.5907       BOSS
9      19      212.8   174.5907       BA
#
8      0       -224    155.1918       BA
8      1       -201.6  155.1918       BA
8      2       -179.2  155.1918       BA
8      3       -156.8  155.1918       Fiducial
8      4       -134.4  155.1918       BA
8      5       -112    155.1918       BOSS
8      6       -89.6   155.1918       Fiducial
8      7       -67.2   155.1918       BA
8      8       -44.8   155.1918       BA
8      9       -22.4   155.1918       BA
8      10      0       155.1918       Fiducial
8      11      22.4    155.1918       BA
8      12      44.8    155.1918       BA
8      13      67.2    155.1918       BA
8      14      89.6    155.1918       Fiducial
8      15      112     155.1918       BOSS
8      16      134.4   155.1918       BA
8      17      156.8   155.1918       Fiducial
8      18      179.2   155.1918       BA
8      19      201.6   155.1918       BA
8      20      224     155.1918       BA
#
7      0       -235.2  135.7928       Fiducial
7      1       -212.8  135.7928       BOSS
7      2       -190.4  135.7928       BA
7      3       -168    135.7928       BOSS
7      4       -145.6  135.7928       BA
7      5       -123.2  135.7928       BOSS
7      6       -100.8  135.7928       BA
7      7       -78.4   135.7928       BA
7      8       -56     135.7928       BOSS
7      9       -33.6   135.7928       BOSS
7      10      -11.2   135.7928       BOSS
7      11      11.2    135.7928       BOSS
7      12      33.6    135.7928       BOSS
7      13      56      135.7928       BOSS
7      14      78.4    135.7928       BA
7      15      100.8   135.7928       BA
7      16      123.2   135.7928       BOSS
7      17      145.6   135.7928       BA
7      18      168     135.7928       BOSS
7      19      190.4   135.7928       BA
7      20      212.8   135.7928       BOSS
7      21      235.2   135.7928       Fiducial
#
6      0       -246.4  116.3938       BA
6      1       -224    116.3938       BOSS
6      2       -201.6  116.3938       BA
6      3       -179.2  116.3938       BOSS
6      4       -156.8  116.3938       BA
6      5       -134.4  116.3938       BOSS
6      6       -112    116.3938       BA
6      7       -89.6   116.3938       BOSS
6      8       -67.2   116.3938       BA
6      9       -44.8   116.3938       Fiducial
6      10      -22.4   116.3938       BA
6      11      0       116.3938       BA
6      12      22.4    116.3938       BA
6      13      44.8    116.3938       Fiducial
6      14      67.2    116.3938       BA
6      15      89.6    116.3938       BOSS
6      16      112     116.3938       BA
6      17      134.4   116.3938       BOSS
6      18      156.8   116.3938       BA
6      19      179.2   116.3938       BOSS
6      20      201.6   116.3938       BA
6      21      224     116.3938       BOSS
6      22      246.4   116.3938       BA
#
5      0       -257.6  96.9948        BA
5      1       -235.2  96.9948        BA
5      2       -212.8  96.9948        BA
5      3       -190.4  96.9948        BOSS
5      4       -168    96.9948        Fiducial
5      5       -145.6  96.9948        BOSS
5      6       -123.2  96.9948        BA
5      7       -100.8  96.9948        BOSS
5      8       -78.4   96.9948        BA
5      9       -56     96.9948        BOSS
5      10      -33.6   96.9948        BA
5      11      -11.2   96.9948        BOSS
5      12      11.2    96.9948        BOSS
5      13      33.6    96.9948        BA
5      14      56      96.9948        BOSS
5      15      78.4    96.9948        BA
5      16      100.8   96.9948        BOSS
5      17      123.2   96.9948        BA
5      18      145.6   96.9948        BOSS
5      19      168     96.9948        Fiducial
5      20      190.4   96.9948        BOSS
5      21      212.8   96.9948        BA
5      22      235.2   96.9948        BA
5      23      257.6   96.9948        BA
#
4      0       -268.8  77.5959        Fiducial
4      1       -246.4  77.5959        BOSS
4      2       -224    77.5959        BA
4      3       -201.6  77.5959        BOSS
4      4       -179.2  77.5959        BA
4      5       -156.8  77.5959        BOSS
4      6       -134.4  77.5959        BA
4      7       -112    77.5959        BOSS
4      8       -89.6   77.5959        BA
4      9       -67.2   77.5959        Fiducial
4      10      -44.8   77.5959        BA
4      11      -22.4   77.5959        BA
4      12      0       77.5959        Fiducial
4      13      22.4    77.5959        BA
4      14      44.8    77.5959        BA
4      15      67.2    77.5959        Fiducial
4      16      89.6    77.5959        BA
4      17      112     77.5959        BOSS
4      18      134.4   77.5959        BA
4      19      156.8   77.5959        BOSS
4      20      179.2   77.5959        BA
4      21      201.6   77.5959        BOSS
4      22      224     77.5959        BA
4      23      246.4   77.5959        BOSS
4      24      268.8   77.5959        Fiducial
#
3      0       -280    58.1969        BA
3      1       -257.6  58.1969        BOSS
3      2       -235.2  58.1969        BA
3      3       -212.8  58.1969        Fiducial
3      4       -190.4  58.1969        BA
3      5       -168    58.1969        BOSS
3      6       -145.6  58.1969        BA  
3      7       -123.2  58.1969        Fiducial
3      8       -100.8  58.1969        BA
3      17      100.8   58.1969        BA
3      18      123.2   58.1969        Fiducial
3      19      145.6   58.1969        BA  
3      20      168     58.1969        BOSS
3      21      190.4   58.1969        BA
3      22      212.8   58.1969        Fiducial
3      23      235.2   58.1969        BA
3      24      257.6   58.1969        BOSS
3      25      280     58.1969        BA
#
2      0       -291.2  38.7979        BA
2      1       -268.8  38.7979        BOSS
2      2       -246.4  38.7979        BA
2      3       -224    38.7979        BOSS
2      4       -201.6  38.7979        BA
2      5       -179.2  38.7979        BOSS
2      6       -156.8  38.7979        BA
2      7       -134.4  38.7979        BOSS
2      8       -112    38.7979        BA
#2      9       -89.6   38.7979        Fiducial
#2      10      -67.20  38.7979        Fiducial
#2      16      67.20   38.7979        Fiducial
#2      17      89.6    38.7979        Fiducial
2      18      112     38.7979        BA
2      19      134.4   38.7979        BOSS
2      20      156.8   38.7979        BA
2      21      179.2   38.7979        BOSS
2      22      201.6   38.7979        BA
2      23      224     38.7979        BOSS
2      24      246.4   38.7979        BA
2      25      268.8   38.7979        BOSS
2      26      291.2   38.7979        BA
#
1      0       -302.4  19.399         BA
1      1       -280    19.399         BOSS
1      2       -257.6  19.399         BA
1      3       -235.2  19.399         BOSS
1      4       -212.8  19.399         BA
1      5       -190.4  19.399         BOSS
1      6       -168    19.399         BA
1      7       -145.6  19.399         BOSS
1      8       -123.2  19.399         BA
1      9       -100.8  19.399         BOSS
1      18      100.8   19.399         BOSS
1      19      123.2   19.399         BA
1      20      145.6   19.399         BOSS
1      21      168     19.399         BA
1      22      190.4   19.399         BOSS
1      23      212.8   19.399         BA
1      24      235.2   19.399         BOSS
1      25      257.6   19.399         BA
1      26      280     19.399         BOSS
1      27      302.4   19.399         BA
